ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-808,203,787,-193,4140,-1113,0,-1,-4
-1170,67,457,-282,4913,-889,0,0,-3
-1141,24,162,-159,5898,-879,0,1,-1
-989,-23,-322,105,5944,-732,1,0,0
-433,-54,-648,215,5734,-768,1,0,2
161,-107,-977,140,2409,-84,1,-1,2
61,-150,-975,-55,669,25,1,-2,2
136,-108,-963,-126,186,-67,1,-2,2
-14,-90,-896,-149,-549,68,1,-2,2
-41,-91,-877,66,-1675,241,1,-1,2
-302,-114,-824,209,-4092,880,1,0,2
-799,-32,-570,70,-5357,1155,0,0,0
-1132,30,-291,-46,-5077,1273,0,1,0
-1060,124,106,-268,-5228,1734,0,0,-2
-759,321,653,-313,-5177,1823,0,0,-4
-460,317,775,-82,-4119,1508,0,-2,-4
-280,355,842,2,-833,140,0,-2,-5
-255,364,935,-16,753,-301,0,-2,-4
-374,343,909,-127,533,-263,0,-2,-4
-584,327,780,-82,2471,-800,0,-1,-4
-912,292,648,-331,4074,-1039,0,0,-4
-1119,246,552,-308,4788,-956,0,0,-2
-1120,176,71,-21,5884,-1057,0,1,0
-732,35,-509,126,5738,-949,0,0,0
-317,-11,-788,-72,3849,-649,0,0,2
-167,-3,-895,-149,1730,-143,1,-1,2
-70,-36,-998,4,1066,-87,1,-1,2
-139,-18,-922,-165,70,27,1,-1,2
-36,-16,-965,-45,-74,11,1,-1,2
-135,6,-902,83,-918,77,1,-1,2
-256,-21,-915,394,-2508,585,1,-1,2
-565,-19,-716,533,-3707,901,0,0,1
-887,0,-408,532,-4596,1225,0,0,0
-1193,71,-100,260,-4925,1780,0,1,-1
-1036,223,277,-46,-4550,1954,0,0,-2
-813,404,567,-202,-4072,1722,0,0,-4
-468,459,721,-153,-3118,1346,-1,-1,-4
-303,431,736,-121,-1969,744,0,-2,-4
-162,476,807,-152,-364,32,0,-3,-4
-217,480,894,-170,403,-291,0,-3,-4
-350,439,804,-92,1029,-351,0,-2,-4
-566,411,841,-221,3735,-1218,0,-1,-4
-1014,301,663,-420,3839,-964,0,0,-4
-1078,263,449,-218,5298,-1279,0,0,-2
-966,161,-84,105,4819,-1024,0,1,0
-830,40,-486,182,5065,-889,0,0,0
-431,-10,-724,156,4598,-792,1,0,2
37,-31,-916,121,2873,-297,1,-1,2
-40,-63,-993,-49,798,110,1,-2,2
97,-16,-924,-103,178,51,1,-2,2
-137,-14,-915,26,-1185,192,1,-1,2
-132,30,-757,457,-1435,228,1,-1,2
-355,-158,-803,1065,-3491,446,1,0,2
-837,-199,-607,428,-5331,1113,1,0,0
-1209,-22,-92,-191,-6782,1854,0,1,-1
-1066,185,514,-79,-6381,2078,0,0,-3
-855,245,679,214,-4960,1661,0,-1,-4
-469,317,795,-66,-3089,802,0,-2,-4
-311,315,864,-34,-796,132,0,-3,-4
-283,331,964,-273,1146,-458,0,-2,-5
-491,352,935,-247,2244,-750,0,-2,-4
-727,238,736,-148,2715,-441,0,-1,-4
-728,222,660,-186,2475,-434,0,0,-4
-1087,101,449,32,3743,-905,0,0,-3
-1248,80,140,211,6595,-1639,0,0,-1
-979,-79,-406,253,6510,-1351,1,0,0
-369,-157,-671,-379,5466,-753,1,0,2
175,-42,-945,-889,1945,148,1,-1,2
69,2,-910,-833,973,-109,0,-2,2
89,116,-800,-469,163,-69,0,-2,2
-82,96,-852,65,-1258,188,0,-2,2
-164,71,-865,390,-1936,263,0,-1,2
-320,-3,-827,583,-3481,533,0,0,2
-744,-15,-562,446,-4574,598,0,0,1
-1008,68,-179,289,-5621,1271,0,1,0
-1144,246,355,18,-6667,2110,0,0,-2
-914,404,725,-41,-5772,1919,0,0,-4
-461,317,676,-56,-3457,1104,0,-2,-4
-298,453,972,-233,-406,-135,0,-2,-4
-191,380,990,-70,378,-265,0,-2,-4
-324,386,845,-39,914,-298,0,-2,-4
-553,348,774,-114,2351,-701,0,-2,-4
-890,287,687,-255,3370,-784,0,-1,-4
-1047,223,548,-191,4412,-1041,0,0,-3
-1049,166,257,65,5026,-1173,0,0,-1
-921,117,-162,366,4821,-1212,0,0,0
-620,-93,-623,497,4435,-991,0,0,1
-418,-120,-792,126,3297,-744,1,0,2
-40,-156,-994,41,1146,-89,1,-1,2
-194,-146,-950,-196,-100,171,1,-1,2
-245,-107,-863,-51,-353,94,1,-1,2
-277,-133,-889,114,-986,297,1,0,2
-322,-123,-732,-7,-3016,771,1,0,1
-838,-54,-501,38,-4763,1089,0,0,0
-1136,55,-202,-18,-4928,1180,0,1,-1
-1183,102,106,-84,-4801,1663,0,0,-2
-865,250,557,-264,-4423,1535,0,0,-4
-649,318,745,-98,-4635,1705,0,-1,-4
-141,318,761,-79,-1915,705,0,-2,-4
-162,355,871,-203,48,-4,0,-3,-4
-84,277,934,-146,1378,-420,0,-2,-4
-455,330,852,-296,1278,-546,0,-2,-4
-803,288,826,-291,3211,-835,0,-1,-4
-1103,194,725,-214,5665,-1269,0,0,-3
-1126,127,337,19,6610,-1386,0,0,-1
-823,4,-292,334,6091,-1142,0,0,0
-512,-156,-631,311,4627,-937,1,0,1
-110,-147,-1015,494,3006,-387,1,-1,2
209,-198,-952,310,1771,-181,1,-2,2
209,-224,-930,-15,361,104,1,-2,2
159,-160,-870,9,-809,216,1,-2,2
-22,-208,-867,196,-2631,843,1,-1,2
-413,-260,-753,72,-4462,1169,1,0,1
-960,-166,-507,-99,-5210,1475,1,0,0
-1138,-36,-227,-303,-4723,1532,0,1,-1
