#Format version: 1.0

Ê®Ò»ÔÂ 10. 2023
FW Datalog BLE
Time,Time,Pressure,Temperature,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,, Acc,Events,Sensor Fusion Quaternions,,,,Compass,Activity,,Carry,Position,Gesture,,
[h:m],[s.ms],[hPa],[C],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],State,Description,q[0],q[1],q[2],q[3],[deg.],State,Description,State,Description,State,Description,
171624,,,,,,,,,,,,,,,,,,, 335.6,
171632,,,,1810,-143,305,-1490,-709,-406,161,-325,-304,
171680,,,,1621,-409,448,-1554,-683,-1031,180,-356,-267,
171728,,,,,,,,,,,,,,,,,,, 354.1,
171736,,,,1626,-499,527,-1388,-133,-1540,171,-383,-241,
171784,,,,1519,-384,631,-962,-54,-1710,128,-413,-213,
171824,,,,,,,,,,,,,,,,,,,   6.0,
171832,,,,1505,-315,795,-887,476,-1912,72,-419,-226,
171880,,,,1512,-215,828,-909,816,-2039,6,-419,-255,
171928,,,,,,,,,,,,,,,,,,,  15.8,
171936,,,,1314,-213,681,-652,1071,-2128,-67,-377,-292,
171984,,,,1064,-117,682,-870,1782,-1947,-123,-310,-348,
172024,,,,,,,,,,,,,,,,,,,  29.9,
172032,,,,634,-265,621,-767,2099,-1420,-151,-215,-411,
172080,,,,367,-292,549,-535,2245,-525,-158,-109,-438,
172128,,,,,,,,,,,,,,,,,,,  40.4,
172136,,,,166,-354,549,-31,1519,95,-145,-19,-469,
172184,,,,139,-366,482,-336,1530,1413,-142,29,-466,
172224,,,,,,,,,,,,,,,,,,, 133.7,
172232,,,,411,-223,295,-700,1206,1920,-124,82,-460,
172280,,,,469,105,258,228,698,1961,-133,107,-451,
172328,,,,,,,,,,,,,,,,,,, 111.7,
172336,,,,396,97,350,499,246,1542,-161,109,-432,
172384,,,,518,239,202,614,546,1760,-196,115,-430,
172424,,,,,,,,,,,,,,,,,,,  93.5,
172432,,,,719,338,249,322,-189,1755,-233,86,-424,
172480,,,,933,319,221,-18,-866,2275,-227,16,-424,
172528,,,,,,,,,,,,,,,,,,,  72.7,
172536,,,,1133,407,500,-1155,-1124,1946,-173,-52,-439,
172584,,,,1357,230,420,-452,-1915,1950,-109,-139,-441,
172624,,,,,,,,,,,,,,,,,,,  45.5,
172632,,,,1503,128,554,-1593,-1524,1487,-15,-209,-415,
172680,,,,1818,-13,633,-1649,-1292,920,84,-266,-376,
172728,,,,,,,,,,,,,,,,,,, 338.0,
172736,,,,1822,-164,649,-1855,-889,-67,168,-295,-336,
172784,,,,1411,-442,299,-1999,-207,-711,215,-319,-294,
172824,,,,,,,,,,,,,,,,,,, 358.9,
172832,,,,1257,-525,222,-1550,86,-1046,222,-335,-270,
172880,,,,1064,-715,343,-1582,88,-1119,227,-356,-252,
172928,,,,,,,,,,,,,,,,,,,  16.3,
172936,,,,1209,-582,439,-1071,-39,-1128,227,-382,-237,
172984,,,,1556,-576,473,-147,-1215,-1501,188,-413,-210,
173024,,,,,,,,,,,,,,,,,,,  20.2,
173032,,,,1876,-495,767,440,-2044,-1750,101,-458,-133,
173080,,,,1419,-537,423,-8,-179,-1815,17,-473,-91,
173128,,,,,,,,,,,,,,,,,,,  13.9,
173136,,,,1134,-431,81,-275,1513,-1844,-72,-448,-139,
173184,,,,712,-441,99,-52,2060,-1192,-143,-409,-214,
173224,,,,,,,,,,,,,,,,,,,  12.8,
173232,,,,497,-319,140,-457,3117,-464,-172,-316,-304,
173280,,,,443,-327,101,-53,2949,-55,-182,-211,-387,
173328,,,,,,,,,,,,,,,,,,,  14.3,
173336,,,,179,-153,101,408,2154,643,-203,-118,-415,
173384,,,,182,-298,75,520,2452,1206,-218,-38,-421,
173424,,,,,,,,,,,,,,,,,,,   0.9,
173432,,,,585,71,-63,989,1409,1808,-247,5,-414,
173480,,,,812,50,-10,1039,739,2059,-286,-10,-391,
173528,,,,,,,,,,,,,,,,,,, 337.1,
173536,,,,1314,272,13,349,46,2697,-293,-47,-384,
173584,,,,1425,253,122,-368,-602,2592,-244,-128,-394,
173624,,,,,,,,,,,,,,,,,,, 319.6,
173632,,,,1668,298,179,-843,-987,2417,-166,-203,-385,
173680,,,,1553,97,313,-1421,-1115,1461,-69,-250,-387,
173728,,,,,,,,,,,,,,,,,,, 320.5,
173736,,,,1496,-134,453,-2258,-983,1182,47,-296,-361,
173784,,,,1614,-199,463,-2437,-535,431,161,-316,-322,
173824,,,,,,,,,,,,,,,,,,, 342.5,
173832,,,,1541,-370,579,-2100,-727,-200,225,-338,-273,
173880,,,,1592,-416,309,-1931,355,-947,254,-344,-249,
173928,,,,,,,,,,,,,,,,,,,   4.5,
173936,,,,1485,-544,276,-1144,-152,-1814,228,-376,-229,
173984,,,,1506,-522,555,-911,179,-2192,161,-401,-222,
174024,,,,,,,,,,,,,,,,,,,  12.5,
174032,,,,1479,-568,917,-386,373,-2423,63,-422,-231,
174080,,,,1374,-596,851,109,658,-2107,-30,-401,-253,
174128,,,,,,,,,,,,,,,,,,,  12.8,
174136,,,,1115,-528,586,105,1499,-1668,-114,-356,-306,
174184,,,,707,-456,374,254,1659,-1025,-163,-298,-342,
174224,,,,,,,,,,,,,,,,,,,  12.9,
